N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto,Año,Mes,Día,Hora
566607,2021-09-13 16:40:00,13032,United Kingdom,175,496.3,2021,9,13,16
580887,2021-12-06 12:26:00,13755,United Kingdom,80,156.9,2021,12,6,12
552523,2021-05-09 16:38:00,15797,United Kingdom,200,330.0,2021,5,9,16
541263,2021-01-16 16:10:00,16843,United Kingdom,534,759.06,2021,1,16,16
542796,2021-02-01 11:07:00,17356,United Kingdom,166,178.22,2021,2,1,11
566776,2021-09-15 09:53:00,14911,Eire,226,368.37,2021,9,15,9
544170,2021-02-16 14:01:00,16148,United Kingdom,72,76.32,2021,2,16,14
539469,2020-12-19 13:59:00,17841,United Kingdom,152,283.52,2020,12,19,13
549670,2021-04-11 12:45:00,16168,United Kingdom,88,141.2,2021,4,11,12
573902,2021-11-01 14:51:00,17428,United Kingdom,48,311.18,2021,11,1,14
544826,2021-02-24 09:36:00,14513,United Kingdom,7,18.75,2021,2,24,9
541086,2021-01-13 12:32:00,16503,United Kingdom,118,353.7,2021,1,13,12
543824,2021-02-14 09:31:00,14631,United Kingdom,160,309.5,2021,2,14,9
552464,2021-05-09 15:12:00,12726,France,333,223.4,2021,5,9,15
551515,2021-05-01 10:51:00,15606,United Kingdom,104,320.88,2021,5,1,10
540160,2021-01-05 11:50:00,15769,United Kingdom,1032,2574.48,2021,1,5,11
565631,2021-09-05 15:49:00,14680,United Kingdom,568,1226.16,2021,9,5,15
580281,2021-12-02 13:15:00,12704,Finland,81,198.76,2021,12,2,13
559157,2021-07-06 15:53:00,13999,United Kingdom,167,307.03,2021,7,6,15
566257,2021-09-11 12:34:00,13324,United Kingdom,680,855.6,2021,9,11,12
554286,2021-05-23 14:16:00,17686,United Kingdom,97,386.96,2021,5,23,14
546741,2021-03-16 12:22:00,13261,United Kingdom,20,99.0,2021,3,16,12
546029,2021-03-09 08:59:00,15206,United Kingdom,6,17.7,2021,3,9,8
543278,2021-02-06 14:43:00,16745,United Kingdom,406,203.82,2021,2,6,14
540630,2021-01-10 11:59:00,17849,United Kingdom,19,217.75,2021,1,10,11
547563,2021-03-24 08:56:00,15651,United Kingdom,238,227.32,2021,3,24,8
554105,2021-05-22 14:04:00,14711,United Kingdom,111,213.06,2021,5,22,14
539442,2020-12-17 15:39:00,16558,United Kingdom,127,311.15,2020,12,17,15
563952,2021-08-22 10:44:00,15572,United Kingdom,267,679.25,2021,8,22,10
545162,2021-02-28 13:35:00,16187,United Kingdom,247,480.9,2021,2,28,13
564966,2021-08-31 15:08:00,17677,United Kingdom,24,34.8,2021,8,31,15
578354,2021-11-24 10:12:00,17139,United Kingdom,232,468.52,2021,11,24,10
572926,2021-10-27 09:23:00,15659,United Kingdom,111,306.45,2021,10,27,9
570292,2021-10-10 11:59:00,13418,United Kingdom,124,370.68,2021,10,10,11
550972,2021-04-21 17:05:00,14031,United Kingdom,46,99.63,2021,4,21,17
541850,2021-01-23 13:58:00,14224,United Kingdom,99,244.3,2021,1,23,13
573124,2021-10-27 16:24:00,13654,United Kingdom,24,99.6,2021,10,27,16
571080,2021-10-13 15:19:00,13719,United Kingdom,77,250.49,2021,10,13,15
565420,2021-09-04 12:09:00,16326,United Kingdom,85,313.05,2021,9,4,12
554633,2021-05-25 11:44:00,14287,United Kingdom,144,17.28,2021,5,25,11
543464,2021-02-08 14:15:00,16779,United Kingdom,308,364.32,2021,2,8,14
553655,2021-05-18 11:14:00,16775,United Kingdom,31,114.7,2021,5,18,11
553559,2021-05-17 17:12:00,14931,Channel Islands,1,293.0,2021,5,17,17
551391,2021-04-28 12:06:00,15514,United Kingdom,152,385.2,2021,4,28,12
544391,2021-02-18 11:53:00,15755,United Kingdom,198,314.68,2021,2,18,11
575039,2021-11-08 11:53:00,15005,United Kingdom,245,327.22,2021,11,8,11
544098,2021-02-16 10:04:00,16019,United Kingdom,396,1129.35,2021,2,16,10
579495,2021-11-29 15:34:00,13576,United Kingdom,180,327.48,2021,11,29,15
569550,2021-10-04 17:32:00,15955,United Kingdom,10,8.5,2021,10,4,17
556827,2021-06-15 10:29:00,15134,United Kingdom,101,171.63,2021,6,15,10
541278,2021-01-17 11:53:00,14135,United Kingdom,52,167.4,2021,1,17,11
553192,2021-05-15 13:27:00,15333,United Kingdom,344,1028.56,2021,5,15,13
548739,2021-04-04 11:28:00,15493,United Kingdom,106,412.49,2021,4,4,11
562949,2021-08-11 09:47:00,14346,United Kingdom,501,759.14,2021,8,11,9
542806,2021-02-01 11:20:00,12836,United Kingdom,254,798.99,2021,2,1,11
573757,2021-11-01 09:46:00,17166,United Kingdom,21,78.75,2021,11,1,9
542925,2021-02-02 09:39:00,14457,United Kingdom,88,113.64,2021,2,2,9
545158,2021-02-28 13:28:00,15874,United Kingdom,52,584.35,2021,2,28,13
549826,2021-04-12 12:53:00,15044,United Kingdom,114,440.5,2021,4,12,12
573830,2021-11-01 11:35:00,16960,United Kingdom,76,148.96,2021,11,1,11
548196,2021-03-29 15:44:00,16011,United Kingdom,63,118.55,2021,3,29,15
575331,2021-11-09 13:52:00,13209,United Kingdom,593,1049.66,2021,11,9,13
566491,2021-09-13 10:25:00,14060,United Kingdom,216,294.24,2021,9,13,10
572670,2021-10-25 13:14:00,13685,United Kingdom,1524,594.36,2021,10,25,13
554356,2021-05-24 09:25:00,12670,France,210,393.34,2021,5,24,9
566062,2021-09-08 15:39:00,14522,United Kingdom,251,482.07,2021,9,8,15
551293,2021-04-27 14:28:00,14298,United Kingdom,618,428.64,2021,4,27,14
574747,2021-11-07 08:34:00,15618,United Kingdom,239,357.81,2021,11,7,8
555846,2021-06-07 13:21:00,14180,United Kingdom,21,149.15,2021,6,7,13
540455,2021-01-07 12:07:00,12583,France,491,730.16,2021,1,7,12
562721,2021-08-08 16:31:00,15985,United Kingdom,208,242.84,2021,8,8,16
545021,2021-02-25 14:11:00,17663,United Kingdom,179,371.39,2021,2,25,14
555367,2021-06-02 14:28:00,17900,United Kingdom,49,79.8,2021,6,2,14
569907,2021-10-06 16:41:00,12569,Germany,13,77.4,2021,10,6,16
559819,2021-07-12 16:58:00,12682,France,117,256.7,2021,7,12,16
575579,2021-11-10 11:49:00,13081,United Kingdom,144,72.0,2021,11,10,11
578665,2021-11-24 17:02:00,16570,United Kingdom,208,427.08,2021,11,24,17
547796,2021-03-25 12:34:00,14646,Netherlands,731,1407.86,2021,3,25,12
543032,2021-02-02 15:39:00,12990,United Kingdom,50,97.5,2021,2,2,15
562166,2021-08-03 12:10:00,13209,United Kingdom,524,595.26,2021,8,3,12
556235,2021-06-09 15:29:00,12778,Netherlands,85,84.0,2021,6,9,15
571741,2021-10-19 10:36:00,15610,United Kingdom,66,112.46,2021,10,19,10
537354,2020-12-06 12:23:00,12748,United Kingdom,85,133.07,2020,12,6,12
560576,2021-07-19 14:59:00,17287,United Kingdom,110,202.07,2021,7,19,14
581253,2021-12-08 11:15:00,16891,United Kingdom,28,115.95,2021,12,8,11
572913,2021-10-26 16:21:00,15993,United Kingdom,678,863.89,2021,10,26,16
547324,2021-03-22 11:27:00,13014,United Kingdom,108,317.8,2021,3,22,11
579489,2021-11-29 15:22:00,16775,United Kingdom,27,129.15,2021,11,29,15
565480,2021-09-05 11:27:00,18273,United Kingdom,40,102.0,2021,9,5,11
551558,2021-05-03 10:41:00,17841,United Kingdom,152,327.71,2021,5,3,10
536614,2020-12-02 09:44:00,17850,United Kingdom,12,22.2,2020,12,2,9
559525,2021-07-10 10:30:00,16923,United Kingdom,214,391.52,2021,7,10,10
560714,2021-07-20 13:10:00,14456,United Kingdom,20,26.25,2021,7,20,13
548746,2021-04-04 12:11:00,12471,Germany,40,50.0,2021,4,4,12
566248,2021-09-11 12:06:00,13272,United Kingdom,72,140.96,2021,9,11,12
565475,2021-09-05 10:47:00,14156,Eire,5034,7480.06,2021,9,5,10
565424,2021-09-04 12:24:00,15215,United Kingdom,92,300.04,2021,9,4,12
540350,2021-01-06 14:14:00,18283,United Kingdom,61,108.45,2021,1,6,14
553612,2021-05-18 10:48:00,17556,United Kingdom,101,157.9,2021,5,18,10
540274,2021-01-06 11:59:00,14618,United Kingdom,92,211.8,2021,1,6,11
550996,2021-04-26 08:57:00,16681,United Kingdom,260,314.92,2021,4,26,8
581580,2021-12-09 12:20:00,12748,United Kingdom,82,94.11,2021,12,9,12
574149,2021-11-03 11:29:00,13709,United Kingdom,293,774.9,2021,11,3,11
544408,2021-02-18 13:29:00,16726,United Kingdom,106,61.0,2021,2,18,13
540273,2021-01-06 11:57:00,17368,United Kingdom,711,563.15,2021,1,6,11
578993,2021-11-27 15:38:00,15987,United Kingdom,182,244.86,2021,11,27,15
581395,2021-12-08 13:18:00,16892,United Kingdom,35,123.12,2021,12,8,13
543279,2021-02-06 14:46:00,17105,United Kingdom,359,319.4,2021,2,6,14
577813,2021-11-22 09:06:00,14297,United Kingdom,458,580.38,2021,11,22,9
545103,2021-02-28 11:57:00,15039,United Kingdom,2,11.9,2021,2,28,11
552245,2021-05-06 19:42:00,12748,United Kingdom,14,108.87,2021,5,6,19
542905,2021-02-01 15:11:00,12540,Spain,193,288.98,2021,2,1,15
574705,2021-11-06 14:06:00,14553,United Kingdom,21,194.4,2021,11,6,14
565141,2021-09-01 13:40:00,17841,United Kingdom,212,354.39,2021,9,1,13
560246,2021-07-17 12:17:00,14292,United Kingdom,328,1353.1,2021,7,17,12
554026,2021-05-20 13:34:00,13324,United Kingdom,376,648.72,2021,5,20,13
574952,2021-11-08 09:47:00,13924,United Kingdom,123,172.33,2021,11,8,9
564095,2021-08-23 10:31:00,14930,Channel Islands,52,165.58,2021,8,23,10
577298,2021-11-18 12:49:00,14299,United Kingdom,497,525.55,2021,11,18,12
557886,2021-06-23 13:39:00,17799,United Kingdom,233,580.04,2021,6,23,13
536884,2020-12-03 11:42:00,14589,United Kingdom,5,39.75,2020,12,3,11
572676,2021-10-25 13:30:00,16258,United Kingdom,649,1462.45,2021,10,25,13
557126,2021-06-16 19:21:00,18168,United Kingdom,83,115.15,2021,6,16,19
557118,2021-06-16 17:05:00,14849,United Kingdom,254,364.16,2021,6,16,17
562885,2021-08-10 11:30:00,14024,United Kingdom,51,65.25,2021,8,10,11
576906,2021-11-17 09:33:00,18225,United Kingdom,575,616.48,2021,11,17,9
552248,2021-05-06 19:49:00,12748,United Kingdom,3,7.15,2021,5,6,19
560997,2021-07-22 13:59:00,12627,Germany,426,768.02,2021,7,22,13
